X,Y,fid,Comments,User,Date,Surveyed,Photo 1,Photo 2,Photo 3,icon_url
-95.3520467440602,44.787000703187,2,,,2023/03/17 16:34:38,,,,,./0.png
-95.3522949401908,44.787006450027,3,,,2023/03/17 16:34:38,,,,,./0.png
-95.3507433060376,44.7867810788175,4,,,2023/03/17 16:34:38,,,,,./0.png
-95.3522786916386,44.7867685924071,5,,,2023/03/17 16:34:38,,,,,./0.png
-95.3507484641022,44.7869875298481,6,,,2023/03/17 16:34:38,,,,,./0.png
