X,Y,fid,Structure ID,Type,Owner,Comments,Photo 1,Photo 2,User,Date Time,Surveyed,CATV Drop,Fiber Drop,Tele Drop,Pwr Drop,Photo 3,icon_url
-95.3522909573062,44.7870092096446,9,,,,,,,,2023/03/17 16:29:46,0,0,0,0,0,,./0.png
-95.3592936369505,44.7867356192965,10,,,,,,,,2023/03/17 16:29:46,0,0,0,0,0,,./0.png
-95.3565953665879,44.7867556173419,185,,,,,,,,2023/03/17 16:29:46,0,0,0,0,0,,./0.png
-95.356294375452,44.7867532752205,186,,,,,,,,2023/03/17 16:29:46,0,0,0,0,0,,./0.png
-95.3558486528028,44.7867536463312,187,,,,,,,,2023/03/17 16:29:46,0,0,0,0,0,,./0.png
-95.355377295289,44.7867568436073,188,,,,,,,,2023/03/17 16:29:46,0,0,0,0,0,,./0.png
-95.3549643336963,44.7867547717221,189,,,,,,,,2023/03/17 16:29:46,0,0,0,0,0,,./0.png
-95.3545189706602,44.7867617564987,190,,,,,,,,2023/03/17 16:29:46,0,0,0,0,0,,./0.png
-95.354156642456,44.7867635532861,191,,,,,,,,2023/03/17 16:29:46,0,0,0,0,0,,./0.png
-95.3538379200002,44.7867659189089,192,,,,,,,,2023/03/17 16:29:46,0,0,0,0,0,,./0.png
-95.3532178962066,44.7867716568574,193,,,,,,,,2023/03/17 16:29:46,0,0,0,0,0,,./0.png
-95.3527367547857,44.7867694960498,195,,,,,,,,2023/03/17 16:29:46,0,0,0,0,0,,./0.png
-95.3522813760705,44.7867738691293,196,,,,,,,,2023/03/17 16:29:46,0,0,0,0,0,,./0.png
-95.3517417370471,44.7867802921494,197,,,,,,,,2023/03/17 16:29:46,0,0,0,0,0,,./0.png
-95.351143322208,44.7867815576636,198,,,,,,,,2023/03/17 16:29:46,0,0,0,0,0,,./0.png
-95.3507424185578,44.7867843702597,199,,,,,,,,2023/03/17 16:29:46,0,0,0,0,0,,./0.png
-95.350369341801,44.7867868725332,200,,,,,,,,2023/03/17 16:29:46,0,0,0,0,0,,./0.png
-95.3498590307637,44.7867869999963,201,,,,,,,,2023/03/17 16:29:46,0,0,0,0,0,,./0.png
-95.3495187107693,44.7867882546727,202,,,,,,,,2023/03/17 16:29:46,0,0,0,0,0,,./0.png
-95.3491972170791,44.7867898457614,203,,,,,,,,2023/03/17 16:29:46,0,0,0,0,0,,./0.png
-95.3573160547605,44.7867503893509,204,,,,,,,,2023/03/17 16:29:46,0,0,0,0,0,,./0.png
-95.3553793911326,44.7870630804934,206,,,,,,,,2023/03/17 16:29:46,0,0,0,0,0,,./0.png
-95.3553760918165,44.7864353565812,207,,,,,,,,2023/03/17 16:29:46,0,0,0,0,0,,./0.png
-95.3538443514166,44.7870705431099,208,,,,,,,,2023/03/17 16:29:46,0,0,0,0,0,,./0.png
-95.353845754581,44.786459446649,209,,,,,,,,2023/03/17 16:29:46,0,0,0,0,0,,./0.png
-95.3522945260267,44.7870131176342,210,,,,,,,,2023/03/17 16:29:46,0,0,0,0,0,,./0.png
-95.3522885123062,44.7864650810114,211,,,,,,,,2023/03/17 16:29:46,0,0,0,0,0,,./0.png
-95.3507472361737,44.786992877783,212,,,,,,,,2023/03/17 16:29:46,0,0,0,0,0,,./0.png
-95.3492045418561,44.7865427258473,215,,,,,,,,2023/03/17 16:29:46,0,0,0,0,0,,./0.png
-95.3568907688523,44.7867483585821,226,,,,,,,,2023/03/17 16:29:46,0,0,0,0,0,,./0.png
-95.3568854135467,44.7863473017054,228,,,,,,,,2023/03/17 16:29:46,0,0,0,0,0,,./0.png
-95.3606775207716,44.7863529741013,229,,,,,,,,2023/03/17 16:29:46,0,0,0,0,0,,./0.png
-95.3606868674308,44.786969101594,230,,,,,,,,2023/03/17 16:29:46,0,0,0,0,0,,./0.png
-95.3606934558462,44.787219510406,231,,,,,,,,2023/03/17 16:29:46,0,0,0,0,0,,./0.png
-95.3598091957012,44.7867341108003,232,,,,,,,,2023/03/17 16:29:46,0,0,0,0,0,,./0.png
-95.3587787312296,44.7867394527053,233,,,,,,,,2023/03/17 16:29:46,0,0,0,0,0,,./0.png
-95.3582611659842,44.786742820668,234,,,,,,,,2023/03/17 16:29:46,0,0,0,0,0,,./0.png
-95.3578265186233,44.786745841894,235,,,,,,,,2023/03/17 16:29:46,0,0,0,0,0,,./0.png
-95.3569788281027,44.7867458209377,236,,,,,,,,2023/03/17 16:29:46,0,0,0,0,0,,./0.png
-95.3569751731065,44.7863474275301,237,,,,,,,,2023/03/17 16:29:46,0,0,0,0,0,,./0.png
-95.3569918164589,44.7872199086523,238,,,,,,,,2023/03/17 16:29:46,0,0,0,0,0,,./0.png
-95.3569213889249,44.7872184536491,239,,,,,,,,2023/03/17 16:29:46,0,0,0,0,0,,./0.png
-95.3489102759721,44.7867890227059,247,,,,,,,,2023/03/17 16:29:46,0,0,0,0,0,,./0.png
