X,Y,fid,Type,Comments,User,Date Time,Surveyed,Photo 1,Photo 2,Photo 3,icon_url
-95.3525913089032,44.7869490469634,29,Curb Stop,,,2023/03/17 16:32:37,0,,,,./0.png
-95.3518692427926,44.7869492674043,30,Curb Stop,,,2023/03/17 16:32:37,0,,,,./0.png
-95.3507844270202,44.7867560807275,33,Curb Stop,,,2023/03/17 16:32:37,0,,,,./0.png
-95.3512697953038,44.7867798721215,34,Curb Stop,,,2023/03/17 16:32:37,0,,,,./0.png
-95.3513217741053,44.7867801271763,35,CS,,,2023/03/17 16:32:37,0,,,,./0.png
-95.3528418504098,44.7867431511161,36,Curb Stop,,,2023/03/17 16:32:37,0,,,,./0.png
-95.3542756236804,44.786754379924,37,Curb Stop,,,2023/03/17 16:32:37,0,,,,./0.png
-95.3555466266,44.7867294239773,38,Curb Stop,,,2023/03/17 16:32:37,0,,,,./0.png
-95.3558800089002,44.7867262395843,39,Curb Stop,,,2023/03/17 16:32:37,0,,,,./0.png
-95.3568475070636,44.786724429893,40,Curb Stop,,,2023/03/17 16:32:37,0,,,,./0.png
-95.3542372665343,44.7869584913826,41,Curb Stop,,,2023/03/17 16:32:37,0,,,,./0.png
-95.3542350379938,44.7869586096612,42,Curb Stop,,,2023/03/17 16:32:37,0,,,,./0.png
-95.359868739642,44.7866606614392,43,Curb Stop,,,2023/03/17 16:32:37,0,,,,./0.png
-95.3603318412268,44.786657350027,44,Curb Stop,,,2023/03/17 16:32:37,0,,,,./0.png
-95.3525939006032,44.7869732358646,54,Curb Stop,,,2023/03/17 16:32:37,0,,,,./0.png
-95.3542336793417,44.786958374119,55,Curb Stop,,,2023/03/17 16:32:37,0,,,,./0.png
-95.3549695168574,44.7869620316255,56,Curb Stop,,,2023/03/17 16:32:37,0,,,,./0.png
-95.356472974804,44.7867235314261,57,Curb Stop,QL D PER BOLLIG PLANS,,2023/03/17 16:32:37,0,,,,./0.png
